mes_ref;dt_vcto;id_client;id_uc;grandezas;leitura_anterior;leitura_atual;const_medidor;consumo_kwh;qtd_enrg_tusd;prc_unit_tributos_tusd;tusd;pis_cofins_tusd;aliq_icms_tusd;icms_tusd;tarifa_unit_tusd;qtd_enrg_te;prc_unit_tributos_te;te;pis_cofins_te;aliq_icms_te;icms_te;tarifa_unit_te;qtd_enrg_compensada_tusd;prc_unit_tributos_compensada_tusd;compensada_tusd;pis_cofins_compensada_tusd;aliq_icms_compensada_tusd;icms_compensada_tusd;tarifa_unit_compensada_tusd;qtd_enrg_compensada_te;prc_unit_tributos_compensada_te;compensada_te;pis_cofins_compensada_te;aliq_icms_compensada_te;icms_compensada_te;tarifa_unit_compensada_te;multa;juros_mora;tx_2_emss_fat;dmic;pc_art113_ren414;cosip_cip;atualz_monetaria;rev_fat_atualiz;ren_1000;art_323;devol_pgto_fat_cancel;sem_corresp_saldo;cred_solu_rclm;cred_prox_fat;total;pis_cofins_total;icms_total;tipo
09/2022;2022-09-19;1;1;ENRG ATV;494,0;1760,0;1,0;1266,0;1266,0;0,51192;648,09;30,07;0,18;116,65;0,39603;1266,0;0,33668;426,24;19,78;0,18;76,72;0,26046;;;;;;;;;;;;;;;2,66;0,21;;;;82,04;;;;;;0,0;;;1159,24;49,85;193,37;valida
10/2022;2022-10-25;1;1;ENRG ATV;1760,0;3026,0;1,0;1266,0;1266,0;0,51051;646,31;28,61;0,18;116,33;0,39603;1266,0;0,33575;425,06;18,81;0,18;76,51;0,26046;;;;;;;;;;;;;;;21,48;5,64;;;;82,04;;;;;;0,0;;;1180,53;47,42;192,84;valida
11/2022;2022-12-19;1;1;ENRG ATV;3026,0;3026,0;1,0;0,0;30,0;0,50767;15,23;0,61;0,18;2,74;0,39603;30,0;0,33367;10,01;0,4;0,18;1,8;0,26046;;;;;;;;;;;;;;;21,42;3,51;;;;2,0;;;;;;-117,05;;64,88;0,0;1,01;4,54;valida
11/2022;2022-11-18;2;2;ENRG ATV;82631,0;90116,0;1,0;7485,0;7485,0;0,50817;3803,62;154,69;0,18;684,65;0,39603;7485,0;0,33421;2501,54;101,73;0,18;450,27;0,26046;;;;;;;;;;;;;;;;;;;;457,84;;;;;;0,0;;;6763,0;256,42;1134,92;valida
11/2022;2022-11-18;3;3;ENRG ATV;40564300,0;41205300,0;0,016;10256,0;10256,0;0,50817;5211,75;211,96;0,18;938,11;0,39603;10256,0;0,33421;3427,64;139,4;0,18;616,97;0,26046;;;;;;;;;;;;;;;;;;;;659,29;;;;;;0,0;;;9298,68;351,36;1555,08;valida
11/2022;2022-11-18;4;4;ENRG ATV;5661,0;18116,0;1,0;12455,0;12455,0;0,50817;6329,23;257,42;0,18;1139,26;0,39603;12455,0;0,33421;4162,57;169,29;0,18;749,26;0,26046;;;;;;;;;;;;;;;;;;;;659,29;;;;;;0,0;;;11151,09;426,71;1888,52;valida
12/2022;2022-12-19;4;4;ENRG ATV;18116,0;29425,0;1,0;11309,0;11309,0;0,50978;5765,06;248,65;0,18;1037,71;0,39603;11309,0;0,33527;3791,54;163,53;0,18;682,47;0,26046;;;;;;;;;;;;;;;209,83;34,48;;;;659,29;;;;;;0,0;;;10460,2;412,18;1720,18;valida
12/2022;2023-01-12;4;5;ENRG ATV INJ;6134,0;6296,0;40,0;6480,0;100,0;0,5096;50,96;2,19;0,18;9,17;0,39603;100,0;0,335;33,5;1,43;0,18;6,03;0,26046;;;;;;;;;;;;;;;;;;;;5,88;;;;;;0,0;;;90,34;3,62;15,2;valida
12/2022;2022-12-26;1;1;nan;;;;;8457,9;0,50978;4311,63;185,96;0,18;776,09;0,39603;8457,9;0,33527;2835,65;122,3;0,18;510,41;0,26046;;;;;;;;;;;;;;;;;;;;949,38;;;;0,0;;0,0;;;8096,66;881,45;3678,63;valida
12/2022;2023-01-04;2;6;ENRG ATV;8876,0;14109,0;1,0;5233,0;5233,0;0,50977;2667,64;115,05;0,18;480,17;0,39603;5233,0;0,33526;1754,43;75,66;0,18;315,79;0,26046;;;;;;;;;;;;;;;;;;;;381,54;;;;;;0,0;;;4803,61;190,71;795,96;valida
12/2022;2022-12-19;2;2;ENRG ATV;90116,0;96439,0;1,0;6323,0;6323,0;0,50977;3223,3;139,02;0,18;580,19;0,39603;6323,0;0,33527;2119,89;91,43;0,18;381,58;0,26046;;;;;;;;;;;;;;;126,1;20,72;;;;457,84;;;;;;0,0;;;5947,85;230,45;961,77;valida
12/2022;2023-01-17;5;7;ENRG ATV INJ;0,0;0,0;40,0;0,0;100,0;0,5096;50,96;2,19;0,18;9,17;0,39603;100,0;0,335;33,5;1,43;0,18;6,03;0,26046;;;;;;;;;;;;;;;;;;;;5,88;;;;;;0,0;;;90,34;3,62;15,2;valida
12/2022;2022-12-19;3;3;ENRG ATV;41205300,0;41773400,0;0,016;9089,6;9089,6;0,50977;4633,65;199,85;0,18;834,05;0,39603;9089,6;0,33527;3047,43;131,43;0,18;548,53;0,26046;;;;;;;;;;;;;;;172,78;28,39;;;;549,41;;;;;;0,0;;;8431,66;331,28;1382,58;valida
01/2023;2023-02-13;4;5;ENRG ATV INJ;6296,0;6431,0;40,0;5400,0;100,0;0,513;51,3;2,47;0,18;9,23;0,39603;100,0;0,3373;33,73;1,62;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;6,3;;;;;;0,0;;;91,33;4,09;15,3;valida
01/2023;2023-01-18;4;4;ENRG ATV;29425,0;40609,0;1,0;11184,0;11184,0;0,51319;5739,48;277,19;0,18;1033,1;0,39603;11184,0;0,33751;3774,74;182,31;0,18;679,45;0,26046;;;;;;;;;;;;;;;;;;;;688,67;;;;;;0,0;;;10202,89;459,5;1712,55;valida
01/2023;2023-02-27;6;8;ENRG ATV;7483,0;7651,0;40,0;6720,0;6720,0;0,51319;3448,62;166,55;0,18;620,75;0,39603;6720,0;0,33751;2268,07;109,53;0,18;408,25;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;6035,04;276,08;1029,0;valida
01/2023;2023-02-22;1;1;ENRG ATV;27416,0;34252,0;1,0;6836,0;6836,0;0,51319;3508,15;169,43;0,18;631,46;0,39603;6836,0;0,33751;2307,21;111,42;0,18;415,29;0,26046;;;;;;;;;;;;;;;161,93;21,29;;;3322,42;478,24;;;;;;0,0;;;9799,24;280,85;1046,75;valida
01/2023;2023-01-30;6;9;ENRG ATV;37599751,0;37905952,0;0,016;4899,216;4899,216;0,51318;2514,2;121,42;0,18;452,55;0,39603;4899,216;0,33751;1653,52;79,85;0,18;297,63;0,26046;;;;;;;;;;;;;;;113,93;5,6;;;;324,26;;;;;;0,0;;;4611,51;201,27;750,18;valida
01/2023;2023-01-18;3;10;ENRG ATV;51931,0;52632,0;1,0;701,0;701,0;0,51314;359,71;17,36;0,18;64,74;0,39603;701,0;0,33748;236,57;11,41;0,18;42,58;0,26046;;;;;;;;;;;;;;;;;;;;52,1;;;;;;0,0;;;648,38;28,77;107,32;valida
01/2023;2023-02-27;6;11;ENRG ATV;13831,0;;1,0;430,0;430,0;0,51312;220,64;10,64;0,18;39,71;0,39603;430,0;0,33742;145,09;6,99;0,18;26,11;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;389,11;17,63;65,82;valida
01/2023;2023-02-13;5;7;ENRG ATV INJ;0,0;0,0;40,0;0,0;100,0;0,513;51,3;2,47;0,18;9,23;0,39603;100,0;0,3373;33,73;1,62;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;6,3;;;;;;0,0;;;91,33;4,09;15,3;valida
01/2023;2023-01-18;2;2;ENRG ATV;96439,0;3244,0;1,0;6805,0;6805,0;0,51319;3492,24;168,66;0,18;628,6;0,39603;6805,0;0,33751;2296,76;110,92;0,18;413,41;0,26046;;;;;;;;;;;;;;;;;;;;478,24;;;;;;0,0;;;6267,24;279,58;1042,01;valida
01/2023;2023-02-06;2;6;ENRG ATV;14109,0;18705,0;1,0;4596,0;4596,0;0,51318;2358,59;113,9;0,18;424,54;0,39603;4596,0;0,33751;1551,19;74,91;0,18;279,21;0,26046;;;;;;;;;;;;;;;;;;;;332,11;;;;;;0,0;;;4241,89;188,81;703,75;valida
01/2023;2023-01-18;3;3;ENRG ATV;41773400,0;42308900,0;0,016;8568,0;8568,0;0,51319;4396,98;212,35;0,18;791,45;0,39603;8568,0;0,33751;2891,79;139,65;0,18;520,52;0,26046;;;;;;;;;;;;;;;;;;;;573,89;;;;;;0,0;;;7862,66;352,0;1311,97;valida
01/2023;2023-02-13;7;12;ENRG ATV;366,0;376,0;40,0;400,0;400,0;0,51313;205,25;9,9;0,18;36,94;0,39603;400,0;0,33745;134,98;6,51;0,18;24,29;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;363,61;16,41;61,23;valida
02/2023;2023-02-22;2;2;ENRG ATV;3244,0;11556,0;1,0;8312,0;8312,0;0,51373;4270,15;209,73;0,18;768,62;0,39603;8312,0;0,33787;2808,39;137,94;0,18;505,51;0,26046;;;;;;;;;;;;;;;;;;;;573,89;;;;;;0,0;;;7652,43;347,67;1274,13;valida
02/2023;2023-03-13;4;5;ENRG ATV INJ;6431,0;6572,0;40,0;5640,0;40,0;0,51325;20,53;1,0;0,18;3,69;0,39603;40,0;0,337;13,48;0,65;0,18;2,42;0,26046;40,0;0,421;-16,84;-1,0;0,0;0,0;0,39603;40,0;0,337;-13,48;-0,65;0,18;-2,42;0,26046;;;;;;3,87;;;;;;85,13;;;92,69;4,17;19,01;valida
02/2023;2023-02-22;1;1;ENRG ATV;34252,0;43079,0;1,0;8827,0;8827,0;0,51373;4534,71;222,72;0,18;816,24;0,39603;8827,0;0,33787;2982,39;146,48;0,18;536,83;0,26046;;;;;;;;;;;;;;;;;;;3322,42;573,89;;;;;;0,0;;;11413,41;369,2;1353,07;valida
02/2023;2023-02-22;3;3;ENRG ATV;42308900,0;43015500,0;0,016;11305,6;11305,6;0,51373;5808,08;285,28;0,18;1045,45;0,39603;11305,6;0,33787;3819,82;187,61;0,18;687,56;0,26046;;;;;;;;;;;;;;;;;;;;688,67;;;;;;0,0;;;10316,57;472,89;1733,01;valida
02/2023;2023-03-06;2;6;ENRG ATV;18705,0;24192,0;1,0;5487,0;5487,0;0,51373;2818,85;138,45;0,18;507,39;0,39603;5487,0;0,33787;1853,89;91,05;0,18;333,7;0,26046;;;;;;;;;;;;;;;88,44;49,42;;;;402,34;27,42;;;;;0,0;;;5240,36;229,5;841,09;valida
02/2023;2023-03-13;5;7;ENRG ATV INJ;0,0;176,0;40,0;7040,0;40,0;0,51325;20,53;1,0;0,18;3,69;0,39603;40,0;0,337;13,48;0,65;0,18;2,42;0,26046;40,0;0,421;-16,84;-1,0;0,0;0,0;0,39603;40,0;0,337;-13,48;-0,65;0,18;-2,42;0,26046;;;;;;3,87;;;;;;85,13;;;92,69;4,17;19,01;valida
02/2023;2023-03-13;7;12;ENRG ATV;376,0;385,0;40,0;360,0;360,0;0,51369;184,93;9,08;0,18;33,28;0,39603;360,0;0,33778;121,6;5,96;0,18;21,88;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;329,91;15,04;55,16;valida
02/2023;2023-02-22;3;10;ENRG ATV;52632,0;53200,0;1,0;568,0;568,0;0,51371;291,79;14,33;0,18;52,52;0,39603;568,0;0,33785;191,9;9,42;0,18;34,54;0,26046;;;;;;;;;;;;;;;;;;;;41,09;;;;;;0,0;;;524,78;23,75;87,06;valida
02/2023;2023-03-28;6;9;ENRG ATV;37905952,0;38229219,0;0,016;5172,272;5172,272;0,51373;2657,17;130,51;0,18;478,29;0,39603;5172,272;0,33787;1747,54;85,83;0,18;314,55;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4723,06;216,34;792,84;valida
02/2023;2023-03-27;6;11;ENRG ATV;;14628,0;1,0;367,0;367,0;0,51368;188,52;9,25;0,18;33,93;0,39603;367,0;0,33779;123,97;6,08;0,18;22,31;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;335,87;15,33;56,24;valida
02/2023;2023-03-27;6;8;ENRG ATV;7651,0;7815,0;40,0;6560,0;6560,0;0,51373;3370,08;165,52;0,18;606,61;0,39603;6560,0;0,33787;2216,41;108,85;0,18;398,95;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5904,84;274,37;1005,56;valida
02/2023;2023-02-22;4;4;ENRG ATV;40609,0;54113,0;1,0;13504,0;13504,0;0,51373;6937,46;340,74;0,18;1248,74;0,39603;13504,0;0,33787;4562,62;224,1;0,18;821,27;0,26046;;;;;;;;;;;;;;;;;;;;688,67;;;;;;0,0;;;12188,75;564,84;2070,01;valida
03/2023;2023-10-23;1;1;ENRG ATV;43079,0;51866,0;1,0;8787,0;8787,0;0,51368;4513,7;221,33;0,18;812,46;0,39603;8787,0;0,33784;2968,56;145,56;0,18;534,34;0,26046;;;;;;;;;;;;;;;;;;;3322,42;573,89;;;;;-11612,73;0,0;;234,16;0,0;366,89;1346,8;valida
03/2023;2023-03-30;6;9;ENRG ATV;38229219,0;38518448,0;0,016;4627,664;4627,664;0,51368;2377,12;116,55;0,18;427,88;0,39603;4627,664;0,33783;1563,37;76,65;0,18;281,4;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4258,84;193,2;709,28;valida
03/2023;2023-05-24;3;10;ENRG ATV;53200,0;;1,0;635,0;635,0;0,51365;326,17;15,99;0,18;58,71;0,39603;635,0;0,33781;214,51;10,51;0,18;38,61;0,26046;260,0;0,396;-102,96;0,0;0,0;0,0;0,39603;260,0;0,26042;-67,71;0,0;0,0;0,0;0,26046;;;;;;52,1;;;;;-592,78;0,0;;170,67;0,0;26,5;97,32;valida
03/2023;2023-06-12;7;12;ENRG ATV INJ;0,0;165,0;40,0;6600,0;200,0;0,51355;102,71;5,03;0,18;18,48;0,39603;200,0;0,3378;67,56;3,31;0,18;12,16;0,26046;100,0;0,4211;-42,11;-2,51;0,0;0,0;0,39603;100,0;0,3375;-33,75;-1,64;0,18;-6,07;0,26046;;;;;;6,3;;;;;;0,0;;;100,71;4,19;24,57;valida
03/2023;2023-06-12;2;7;ENRG ATV INJ;176,0;375,0;40,0;7960,0;100,0;0,5135;51,35;2,51;0,18;9,24;0,39603;100,0;0,3375;33,75;1,64;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;-88,97;0,0;;;0,0;4,15;15,31;valida
03/2023;2023-05-24;3;3;ENRG ATV;43015500,0;43714300,0;0,016;11180,8;11180,8;0,51368;5743,35;281,62;0,18;1033,8;0,39603;11180,8;0,33784;3777,28;185,22;0,18;679,91;0,26046;3120,0;0,39603;-1235,61;0,0;0,0;0,0;0,39603;3120,0;0,26046;-812,63;0,0;0,0;0,0;0,26046;;;;;;688,67;;;;;-10209,3;0,0;;2048,24;0,0;466,84;1713,71;valida
03/2023;2023-04-12;4;5;ENRG ATV INJ;6572,0;6717,0;40,0;5800,0;40,0;0,51325;20,53;1,0;0,18;3,69;0,39603;40,0;0,337;13,48;0,65;0,18;2,42;0,26046;40,0;0,421;-16,84;-1,0;0,0;0,0;0,39603;40,0;0,337;-13,48;-0,65;0,18;-2,42;0,26046;3,38;1,75;;;;5,1;0,9;;;;;85,12;;;99,94;4,16;19,01;valida
03/2023;2023-04-26;6;11;ENRG ATV;14628,0;15107,0;1,0;479,0;479,0;0,51361;246,02;12,05;0,18;44,28;0,39603;479,0;0,33779;161,8;7,92;0,18;29,12;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;431,2;19,97;73,4;valida
03/2023;2023-04-26;6;8;ENRG ATV;7815,0;8017,0;40,0;8080,0;8080,0;0,51368;4150,52;203,51;0,18;747,09;0,39603;8080,0;0,33783;2729,7;133,85;0,18;491,34;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;7198,57;337,36;1238,43;valida
03/2023;2023-05-18;2;2;ENRG ATV;11556,0;20302,0;1,0;8746,0;8746,0;0,51368;4492,63;220,29;0,18;808,67;0,39603;8746,0;0,33783;2954,7;144,88;0,18;531,84;0,26046;;;;;;;;;;;;;;;;;;;;573,89;;;;;-8021,22;0,0;;;0,0;365,17;1340,51;valida
03/2023;2023-03-20;4;4;ENRG ATV;54113,0;67416,0;1,0;13303,0;13303,0;0,51368;6833,47;335,07;0,18;1230,02;0,39603;13303,0;0,33783;4494,21;220,37;0,18;808,95;0,26046;5600,0;0,42121;-2358,8;-141,04;0,0;0,0;0,39603;5600,0;0,33783;-1891,86;-92,76;0,18;-340,53;0,26046;230,0;3,78;;;;688,67;60,95;;;;;0,0;;;8060,42;321,64;1698,44;valida
03/2023;2023-05-24;1;1;ENRG ATV;43079,0;51866,0;1,0;8787,0;8787,0;0,51368;4513,7;221,33;0,18;812,46;0,39603;8787,0;0,33784;2968,56;145,56;0,18;534,34;0,26046;3120,0;0,39603;-1235,61;0,0;0,0;0,0;0,39603;3120,0;0,26046;-812,63;0,0;0,0;0,0;0,26046;182,74;2,99;;;3322,42;573,89;48,43;;;;-11612,73;0,0;;2048,24;0,0;366,89;1346,8;invalida
04/2023;2023-05-18;4;4;ENRG ATV;67416,0;82370,0;1,0;14954,0;14954,0;0,51346;7678,3;373,98;0,18;1382,09;0,39603;14954,0;0,33769;5049,84;245,96;0,18;908,97;0,26046;10840,0;0,42104;-4564,05;-271,09;0,0;0,0;0,39603;10840,0;0,33769;-3660,57;-178,29;0,18;-658,9;0,26046;;;;;;688,67;;;;;-14677,04;0,0;;9484,85;0,0;170,56;1632,16;valida
04/2023;2023-10-23;3;3;ENRG ATV;43714300,0;44470100,0;0,016;12092,8;12092,8;0,51346;6209,19;302,43;0,18;1117,65;0,39603;12092,8;0,33769;4083,64;198,9;0,18;735,05;0,26046;3120,0;0,39603;-1235,61;0,0;0,0;0,0;0,39603;3120,0;0,26046;-812,63;0,0;0,0;0,0;0,26046;;;;;;688,67;;;;;-12000,61;0,0;;3067,35;0,0;501,33;1852,7;valida
04/2023;2023-05-26;6;8;ENRG ATV INJ;0,0;1,0;40,0;40,0;7600,0;0,51346;3902,29;190,06;0,18;702,41;0,39603;7600,0;0,33769;2566,43;124,99;0,18;461,95;0,26046;40,0;0,42075;-16,83;-0,99;0,0;0,0;0,39603;40,0;0,33675;-13,47;-0,64;0,18;-2,42;0,26046;;;;;;318,35;;;;;;-494,64;;;6262,13;313,42;1161,94;valida
04/2023;2023-05-26;6;11;ENRG ATV;15107,0;15554,0;1,0;447,0;447,0;0,51342;229,5;11,17;0,18;41,31;0,39603;447,0;0,33763;150,92;7,34;0,18;27,16;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;-27,66;;;376,14;18,51;68,47;valida
04/2023;2023-05-30;6;9;ENRG ATV;38518448,0;38804970,0;0,016;4584,352;4584,352;0,51346;2353,89;114,65;0,18;423,7;0,39603;4584,352;0,42196;1934,42;94,21;0,18;348,19;0,32546;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4606,66;208,86;771,89;valida
04/2023;2023-05-24;3;10;ENRG ATV;;54552,0;1,0;717,0;717,0;0,51343;368,13;17,92;0,18;66,26;0,39603;717,0;0,33764;242,09;11,78;0,18;43,57;0,26046;292,0;0,39603;-115,64;0,0;0,0;0,0;0,39603;292,0;0,26045;-76,05;0,0;0,0;0,0;0,26046;;;;;;52,1;;;;;-722,75;0,0;;252,12;0,0;29,7;109,83;valida
04/2023;2023-06-12;7;12;ENRG ATV INJ;165,0;348,0;40,0;7320,0;120,0;0,51325;61,59;2,99;0,18;11,08;0,39603;120,0;0,33758;40,51;1,97;0,18;7,29;0,26046;20,0;0,4205;-8,41;-0,49;0,0;0,0;0,39603;20,0;0,3355;-6,71;-0,31;0,18;-1,2;0,26046;;;;;;6,3;;;;;;0,0;;;93,28;4,16;17,17;valida
04/2023;2023-05-24;3;3;ENRG ATV;43714300,0;44470100,0;0,016;12092,8;12092,8;0,51346;6209,19;302,43;0,18;1117,65;0,39603;12092,8;0,33769;4083,64;198,9;0,18;735,05;0,26046;3504,0;0,39603;-1387,68;0,0;0,0;0,0;0,39603;3504,0;0,26046;-912,65;0,0;0,0;0,0;0,26046;;;;;;688,67;;;;;-12000,61;0,0;;3319,44;0,0;501,33;1852,7;invalida
04/2023;2023-06-19;2;2;ENRG ATV;20302,0;29662,0;1,0;9360,0;9360,0;0,51346;4806,0;234,08;0,18;865,08;0,39603;9360,0;0,33769;3160,79;153,95;0,18;568,94;0,26046;9310,0;0,42104;-3919,86;-232,83;0,0;0,0;0,39603;9310,0;0,33769;-3143,9;-153,12;0,18;-565,9;0,26046;;;;;;573,89;;;;;-5961,83;0,0;;4484,91;0,0;2,08;868,12;valida
04/2023;2023-06-07;2;6;ENRG ATV;29837,0;35345,0;1,0;5508,0;5508,0;0,51346;2828,14;137,75;0,18;509,06;0,39603;5508,0;0,33769;1859,98;90,58;0,18;334,79;0,26046;5478,0;0,42104;-2306,44;-136,99;0,0;0,0;0,39603;5478,0;0,33769;-1849,85;-90,09;0,18;-332,97;0,26046;;;2,45;;;398,53;;;;;;0,0;;;932,81;1,25;510,88;valida
