mes_ref;dt_vcto;id_client;id_uc;grandezas;leitura_anterior;leitura_atual;const_medidor;consumo_kwh;qtd_enrg_tusd;prc_unit_tributos_tusd;tusd;pis_cofins_tusd;aliq_icms_tusd;icms_tusd;tarifa_unit_tusd;qtd_enrg_te;prc_unit_tributos_te;te;pis_cofins_te;aliq_icms_te;icms_te;tarifa_unit_te;qtd_enrg_compensada_tusd;prc_unit_tributos_compensada_tusd;compensada_tusd;pis_cofins_compensada_tusd;aliq_icms_compensada_tusd;icms_compensada_tusd;tarifa_unit_compensada_tusd;qtd_enrg_compensada_te;prc_unit_tributos_compensada_te;compensada_te;pis_cofins_compensada_te;aliq_icms_compensada_te;icms_compensada_te;tarifa_unit_compensada_te;multa;juros_mora;tx_2_emss_fat;dmic;pc_art113_ren414;cosip_cip;atualz_monetaria;rev_fat_atualiz;ren_1000;art_323;devol_pgto_fat_cancel;sem_corresp_saldo;cred_solu_rclm;cred_prox_fat;total;pis_cofins_total;icms_total;tipo
04/2023;2023-10-23;1;1;ENRG ATV;51866,0;62172,0;1,0;10306,0;10306,0;0,51346;5291,73;257,74;0,18;952,51;0,39603;10306,0;0,33769;3480,25;169,51;0,18;626,44;0,26046;3120,0;0,39603;-1235,61;0,0;0,0;0,0;0,39603;3120,0;0,26046;-812,63;0,0;0,0;0,0;0,26046;;;;;3322,41;688,67;;;;;-10980,07;0,0;;245,25;0,0;427,25;1578,95;valida
04/2023;2023-05-12;4;5;ENRG ATV INJ;6717,0;6844,0;40,0;5080,0;100,0;0,5132;51,32;2,49;0,18;9,23;0,39603;100,0;0,3375;33,75;1,64;0,18;6,07;0,26046;;;;;;;;;;;;;;;1,77;0,34;;;;4,06;0,63;;;;;-3,01;;;88,86;4,13;15,3;valida
04/2023;2023-06-12;2;7;ENRG ATV INJ;375,0;635,0;40,0;10400,0;100,0;0,5132;51,32;2,49;0,18;9,23;0,39603;100,0;0,3375;33,75;1,64;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;-88,94;0,0;;;0,0;4,13;15,3;valida
04/2023;2023-05-24;1;1;ENRG ATV;51866,0;62172,0;1,0;10306,0;10306,0;0,51346;5291,73;257,74;0,18;952,51;0,39603;10306,0;0,33769;3480,25;169,51;0,18;626,44;0,26046;3504,0;0,39603;-1387,68;0,0;0,0;0,0;0,39603;3504,0;0,26046;-912,65;0,0;0,0;0,0;0,26046;216,78;171,05;;;3322,41;694,4;168,66;;;;-13651,59;-64,88;;2671,52;0,0;427,25;1578,95;invalida
05/2023;2023-07-24;3;10;ENRG ATV;54552,0;55976,0;1,0;1424,0;1424,0;0,51399;731,92;36,24;0,18;131,74;0,39603;1424,0;0,33803;481,36;23,83;0,18;86,64;0,26046;267,2;0,396;-105,81;0,0;0,0;0,0;0,39603;267,2;0,26044;-69,59;0,0;0,0;0,0;0,26046;;;;;;108,41;;;;-457,31;-886,52;0,0;;197,54;0,0;60,07;218,38;valida
05/2023;2023-07-24;1;1;ENRG ATV;62172,0;71402,0;1,0;9230,0;9230,0;0,51401;4744,28;234,96;0,18;853,97;0,39603;9230,0;0,33805;3120,2;154,53;0,18;561,63;0,26046;3206,4;0,39603;-1269,83;0,0;0,0;0,0;0,39603;3206,4;0,26046;-835,13;0,0;0,0;0,0;0,26046;;;;;;573,89;;;;-4819,08;-4719,76;0,0;;3205,43;0,0;389,49;1415,6;invalida
05/2023;2023-07-24;3;3;ENRG ATV;44470100,0;45004100,0;0,016;8544,0;8544,0;0,51401;4391,68;217,5;0,18;790,5;0,39603;8544,0;0,33805;2888,3;143,04;0,18;519,89;0,26046;3206,4;0,39603;-1269,83;0,0;0,0;0,0;0,39603;3206,4;0,26046;-835,13;0,0;0,0;0,0;0,26046;;;;;;573,89;;;;-5801,8;-5367,68;0,0;;5420,57;0,0;360,54;1310,39;invalida
05/2023;2023-06-02;6;9;ENRG ATV;38804970,0;39134727,0;0,016;5276,112;5276,112;0,51401;2711,95;134,31;0,18;488,15;0,39603;5276,112;0,33805;1783,58;88,33;0,18;321,04;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4813,88;222,64;809,19;valida
05/2023;2023-05-18;4;4;ENRG ATV;82370,0;94160,0;1,0;11790,0;11790,0;0,51401;6060,14;300,13;0,18;1090,82;0,39603;11790,0;0,33805;3985,62;197,39;0,18;717,41;0,26046;5760,0;0,42148;-2427,75;-146,62;0,0;0,0;0,39603;5760,0;0,33805;-1947,15;-96,43;0,18;-350,48;0,26046;;;;;;688,67;;;;-9590,87;-9484,85;0,0;;12716,19;0,0;254,47;1457,75;valida
05/2023;2023-06-26;6;8;ENRG ATV INJ;1,0;1,0;40,0;0,0;4720,0;0,514;2426,1;120,15;0,18;436,69;0,39603;4720,0;0,33805;1595,59;79,02;0,18;287,2;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4340,04;199,17;723,89;valida
05/2023;2023-06-26;6;11;ENRG ATV;15554,0;15949,0;1,0;395,0;395,0;0,51395;203,01;10,04;0,18;36,54;0,39603;395,0;0,33803;133,52;6,61;0,18;24,03;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;359,91;16,65;60,57;valida
05/2023;2023-10-23;3;3;ENRG ATV;44470100,0;45004100,0;0,016;8544,0;8544,0;0,51401;4391,68;217,5;0,18;790,5;0,39603;8544,0;0,33805;2888,3;143,04;0,18;519,89;0,26046;3504,0;0,39603;-1387,68;0,0;0,0;0,0;0,39603;3504,0;0,26046;-912,65;0,0;0,0;0,0;0,26046;;;;;;573,89;;;;-4258,93;-6930,09;0,0;;5635,48;0,0;360,54;1310,39;valida
05/2023;2023-10-23;1;1;ENRG ATV;62172,0;71402,0;1,0;9230,0;9230,0;0,51401;4744,28;234,96;0,18;853,97;0,39603;9230,0;0,33805;3120,2;154,53;0,18;561,63;0,26046;3504,0;0,39603;-1387,68;0,0;0,0;0,0;0,39603;3504,0;0,26046;-912,65;0,0;0,0;0,0;0,26046;399,52;174,04;;;;579,62;217,09;;;-9414,17;-8829,26;-64,88;;11373,89;0,0;389,49;1415,6;valida
05/2023;2023-06-07;2;6;ENRG ATV;35345,0;40257,0;1,0;4912,0;4912,0;0,514;2524,78;125,03;0,18;454,46;0,39603;4912,0;0,33805;1660,48;82,23;0,18;298,88;0,26046;2416,8;0,42148;-1018,64;-61,52;0,0;0,0;0,39603;2416,8;0,33804;-816,97;-40,45;0,18;-147,05;0,26046;;;2,45;;;332,11;;;;;;0,0;;;2684,21;105,29;606,29;valida
05/2023;2023-06-19;2;2;ENRG ATV;29662,0;37172,0;1,0;7510,0;7510,0;0,51401;3860,19;191,18;0,18;694,83;0,39603;7510,0;0,33805;2538,75;125,73;0,18;456,97;0,26046;1155,2;0,42147;-486,88;-29,39;0,0;0,0;0,39603;1155,2;0,33804;-390,5;-19,33;0,18;-70,29;0,26046;;;;;;478,24;;;;-1571,41;-5999,76;0,0;;1571,37;0,0;268,19;1081,51;valida
05/2023;2023-06-12;2;7;ENRG ATV INJ;635,0;888,0;40,0;10120,0;100,0;0,5139;51,39;2,54;0,18;9,25;0,39603;100,0;0,3378;33,78;1,66;0,18;6,08;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;-0,02;-3,71;0,0;;;85,31;4,2;15,33;valida
05/2023;2023-07-14;7;12;ENRG ATV INJ;348,0;515,0;40,0;6680,0;100,0;0,5139;51,39;2,54;0,18;9,25;0,39603;100,0;0,3378;33,78;1,66;0,18;6,08;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;-89,04;0,0;;;0,0;4,2;15,33;valida
05/2023;2023-06-12;4;5;ENRG ATV INJ;6844,0;6949,0;40,0;4200,0;100,0;0,5139;51,39;2,54;0,18;9,25;0,39603;100,0;0,3378;33,78;1,66;0,18;6,08;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;;0,0;;;89,04;4,2;15,33;valida
06/2023;2023-10-23;1;1;ENRG ATV;71402,0;81297,0;1,0;9895,0;50,0;0,5128;25,64;1,23;0,18;4,61;0,39603;50,0;0,337;16,85;0,8;0,18;3,03;0,26046;20,0;0,396;-7,92;0,0;0,0;0,0;0,39603;20,0;0,26;-5,2;0,0;0,0;0,0;0,26046;;;;;;2,08;;;;-45,08;;0,0;;13,63;0,0;2,03;7,64;valida
06/2023;2023-07-12;4;5;ENRG ATV INJ;6949,0;7046,0;40,0;3880,0;100,0;0,5129;51,29;2,46;0,18;9,23;0,39603;100,0;0,3373;33,73;1,62;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;;0,0;;;88,89;4,08;15,3;valida
06/2023;2023-07-14;7;12;ENRG ATV INJ;515,0;682,0;40,0;6680,0;120,0;0,51275;61,53;2,94;0,18;11,07;0,39603;120,0;0,33717;40,46;1,93;0,18;7,28;0,26046;20,0;0,42;-8,4;-0,48;0,0;0,0;0,39603;20,0;0,3355;-6,71;-0,31;0,18;-1,2;0,26046;;;;;;6,3;;;;;;0,0;;;93,18;4,08;17,15;valida
06/2023;2023-07-24;3;10;ENRG ATV;55976,0;57621,0;1,0;1645,0;1645,0;0,51301;843,9;40,54;0,18;151,9;0,39603;1645,0;0,33739;555,01;26,66;0,18;99,9;0,26046;266,4;0,39602;-105,5;0,0;0,0;0,0;0,39603;266,4;0,26044;-69,38;0,0;0,0;0,0;0,26046;;;;;;134,51;;;;;-1365,12;0,0;;6,58;0,0;67,2;251,8;valida
06/2023;2023-07-04;6;9;ENRG ATV;39134727,0;39475500,0;0,016;5452,368;5452,368;0,51302;2797,19;134,4;0,18;503,49;0,39603;5452,368;0,3374;1839,63;88,38;0,18;331,13;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;4955,17;222,78;834,62;valida
06/2023;2023-07-26;6;11;ENRG ATV;15949,0;16286,0;1,0;337,0;337,0;0,51294;172,86;8,29;0,18;31,11;0,39603;337,0;0,33733;113,68;5,45;0,18;20,46;0,26046;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;309,92;13,74;51,57;valida
06/2023;2023-07-26;6;8;ENRG ATV INJ;1,0;1,0;40,0;0,0;5840,0;0,51302;2996,06;143,96;0,18;539,29;0,39603;5840,0;0,3374;1970,42;94,67;0,18;354,67;0,26046;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5284,83;238,63;893,96;valida
06/2023;2023-06-19;4;4;ENRG ATV;94160,0;7461,0;1,0;13301,0;13301,0;0,51303;6823,75;327,89;0,18;1228,27;0,39603;13301,0;0,3374;4487,81;215,64;0,18;807,8;0,26046;4200,0;0,42068;-1766,85;-103,53;0,0;0,0;0,39603;4200,0;0,3374;-1417,09;-68,09;0,18;-255,07;0,26046;;;;;;688,67;;;;-9609,93;-3125,32;0,0;;3918,96;0,0;371,91;1781,0;valida
06/2023;2023-07-04;2;6;ENRG ATV;40257,0;44775,0;1,0;4518,0;4518,0;0,51302;2317,84;111,37;0,18;417,21;0,39603;4518,0;0,3374;1524,37;73,24;0,18;274,38;0,26046;4351,6;0,42068;-1830,63;-107,27;0,0;0,0;0,39603;4351,6;0,3374;-1468,24;-70,55;0,18;-264,28;0,26046;;;2,45;;;332,11;;;;;;-955,56;;77,66;0,0;6,79;427,31;valida
06/2023;2023-06-20;2;2;ENRG ATV;37172,0;45460,0;1,0;8288,0;8288,0;0,51302;4251,93;204,3;0,18;765,34;0,39603;8288,0;0,3374;2796,4;134,36;0,18;503,35;0,26046;5768,4;0,42068;-2426,64;-142,19;0,0;0,0;0,39603;5768,4;0,3374;-1946,26;-93,51;0,18;-350,32;0,26046;;;;;;573,89;;;;-1619,04;-7814,62;0,0;;6184,34;0,0;102,96;918,37;valida
06/2023;2023-07-12;2;7;ENRG ATV INJ;888,0;1115,0;40,0;9080,0;100,0;0,5129;51,29;2,46;0,18;9,23;0,39603;100,0;0,3373;33,73;1,62;0,18;6,07;0,26046;;;;;;;;;;;;;;;;;;;;3,87;;;;;;0,0;-5,64;;83,25;4,08;15,3;valida
06/2023;2023-07-24;3;3;ENRG ATV;45004100,0;45617200,0;0,016;9809,6;9809,6;0,51302;5032,57;241,82;0,18;905,86;0,39603;9809,6;0,3374;3309,79;159,03;0,18;595,76;0,26046;3196,8;0,39603;-1266,02;0,0;0,0;0,0;0,39603;3196,8;0,26046;-832,63;0,0;0,0;0,0;0,26046;;;;;;573,89;;;;-3022,95;-3862,74;0,0;;68,09;0,0;400,85;1501,62;valida
06/2023;2023-07-24;1;1;ENRG ATV;71402,0;81297,0;1,0;9895,0;9895,0;0,51302;5076,37;243,92;0,18;913,74;0,39603;9895,0;0,3374;3338,62;160,42;0,18;600,95;0,26046;3196,8;0,39603;-1266,02;0,0;0,0;0,0;0,39603;3196,8;0,26046;-832,63;0,0;0,0;0,0;0,26046;;;;;;573,89;;;;-2048,24;-5678,33;0,0;;836,34;0,0;404,34;1514,69;invalida
07/2023;2023-08-23;2;6;ENRG ATV;44775,0;49524,0;1,0;4749,0;4749,0;0,49639;2357,37;117,32;0,18;424,32;0,38234;4749,0;0,35142;1668,9;83,05;0,18;300,4;0,27068;3904,4;0,40704;-1589,25;-96,46;0,0;0,0;0,38234;3904,4;0,35142;-1372,09;-68,29;0,18;-246,97;0,27068;72,33;35,65;2,45;;;332,11;8,32;;;;;-2739,07;;1223,28;0,0;35,62;477,75;valida
07/2023;2023-07-24;3;10;ENRG ATV;57621,0;58192,0;1,0;571,0;571,0;0,51159;292,12;14,53;0,18;52,58;0,39408;571,0;0,33998;194,13;9,65;0,18;34,94;0,26191;;;;;;;;;;;;;;;;;;;;41,09;;;;;-6,58;0,0;;;520,76;24,18;87,52;valida
07/2023;2023-08-14;2;7;ENRG ATV INJ;1115,0;1328,0;40,0;8520,0;100,0;0,4847;48,47;2,4;0,18;8,72;0,37364;100,0;0,3595;35,95;1,78;0,18;6,47;0,27718;;;;;;;;;;;;;;;1,62;0,55;;;;4,22;0,19;;;;;0,0;;;91,0;4,18;15,19;valida
07/2023;2023-07-24;2;2;ENRG ATV;45460,0;52214,0;1,0;6754,0;6754,0;0,51164;3455,6;171,99;0,18;622,0;0,39408;6754,0;0,34004;2296,62;114,3;0,18;413,39;0,26191;5175,6;0,41954;-2171,39;-131,8;0,0;0,0;0,39408;5175,6;0,34004;-1759,9;-87,59;0,18;-316,78;0,26191;;;;;;478,24;;;;-86,08;-4565,3;0,0;;2352,21;0,0;66,9;718,61;valida
07/2023;2023-08-14;7;12;ENRG ATV INJ;682,0;844,0;40,0;6480,0;120,0;0,48492;58,19;2,89;0,18;10,47;0,37364;120,0;0,35975;43,17;2,14;0,18;7,77;0,27718;20,0;0,3965;-7,93;-0,47;0,0;0,0;0,37364;20,0;0,359;-7,18;-0,35;0,18;-1,29;0,27718;1,86;0,39;;;;6,3;;;;;;0,0;;;94,8;4,21;16,95;valida
07/2023;2023-08-28;6;11;ENRG ATV;16286,0;16588,0;1,0;302,0;302,0;0,485;146,47;7,28;0,18;26,36;0,37364;302,0;0,35977;108,65;5,4;0,18;19,55;0,27718;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;278,5;12,68;45,91;valida
07/2023;2023-07-24;4;4;ENRG ATV;7461,0;18987,0;1,0;11526,0;11526,0;0,51164;5897,14;293,51;0,18;1061,48;0,39408;11526,0;0,34004;3919,3;195,07;0,18;705,47;0,26191;3880,0;0,41954;-1627,82;-98,8;0,0;0,0;0,39408;3880,0;0,34004;-1319,34;-65,66;0,18;-237,48;0,26191;;;;;;688,67;;;;-3812,94;;0,0;-1460,28;;2284,73;324,12;1529,47;valida
07/2023;2023-10-23;3;3;ENRG ATV;45617200,0;46153000,0;0,016;8572,8;8572,8;0,51164;4386,18;218,31;0,18;789,51;0,39408;8572,8;0,34004;2915,08;145,08;0,18;524,71;0,26191;6403,2;0,39408;-2523,36;0,0;0,0;0,0;0,39408;6403,2;0,26191;-1677,05;0,0;0,0;0,0;0,26191;;;;;;573,89;;;;;-7807,06;0,0;;4132,32;0,0;363,39;1314,22;valida
07/2023;2023-10-23;1;1;ENRG ATV;81297,0;89606,0;1,0;8309,0;8309,0;0,51164;4251,21;211,59;0,18;765,21;0,39408;8309,0;0,34004;2825,39;140,62;0,18;508,57;0,26191;6383,2;0,39408;-2515,48;0,0;0,0;0,0;0,39408;6383,2;0,26191;-1671,81;0,0;0,0;0,0;0,26191;;;;;;573,89;;;;;-6814,15;0,0;;3350,95;0,0;352,21;1273,78;valida
07/2023;2023-08-30;6;9;ENRG ATV;39475500,0;39857300,0;0,016;6108,8;6108,8;0,48929;2989,0;148,77;0,18;538,02;0,37687;6108,8;0,35673;2179,2;108,45;0,18;392,25;0,27477;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5486,55;257,22;930,27;valida
07/2023;2023-07-24;3;3;ENRG ATV;45617200,0;46153000,0;0,016;8572,8;8572,8;0,51164;4386,18;218,31;0,18;789,51;0,39408;8572,8;0,34004;2915,08;145,08;0,18;524,71;0,26191;;;;;;;;;;;;;;;;;;;;573,89;;;;-68,09;;0,0;;;7807,06;363,39;1314,22;invalida
07/2023;2023-07-24;1;1;ENRG ATV;81297,0;89606,0;1,0;8309,0;8309,0;0,51164;4251,21;211,59;0,18;765,21;0,39408;8309,0;0,34004;2825,39;140,62;0,18;508,57;0,26191;;;;;;;;;;;;;;;;;;;;573,89;;;;-836,34;;0,0;;;6814,15;352,21;1273,78;invalida
07/2023;2023-08-28;6;8;ENRG ATV INJ;1,0;1,0;40,0;0,0;5960,0;0,4851;2891,2;143,9;0,18;520,41;0,37364;5960,0;0,35986;2144,79;106,75;0,18;386,06;0,27718;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5354,34;250,65;906,47;valida
07/2023;2023-08-28;4;5;ENRG ATV INJ;7046,0;7136,0;40,0;3600,0;100,0;0,4847;48,47;2,4;0,18;8,72;0,37364;100,0;0,3595;35,95;1,78;0,18;6,47;0,27718;;;;;;;;;;;;;;;3,39;1,69;;;;4,57;0,4;;;;;0,0;;;94,47;4,18;15,19;valida
08/2023;2023-09-26;4;5;ENRG ATV INJ;7136,0;7232,0;40,0;3840,0;100,0;0,4692;46,92;1,8;0,18;8,44;0,36683;100,0;0,3609;36,09;1,38;0,18;6,49;0,28227;;;;;;;;;;;;;;;;;;;;3,87;;;;;;0,0;;;86,88;3,18;14,93;valida
08/2023;2023-09-26;6;11;ENRG ATV;16588,0;16958,0;1,0;370,0;370,0;0,46941;173,68;6,7;0,18;31,26;0,36683;370,0;0,36119;133,64;5,16;0,18;24,05;0,28227;;;;;;;;;;;;;;;;;;;;23,38;;;;;;0,0;;;330,7;11,86;55,31;valida
08/2023;2023-09-26;6;8;ENRG ATV INJ;1,0;1,0;40,0;0,0;6200,0;0,46946;2910,65;112,4;0,18;523,91;0,36683;6200,0;0,36124;2239,7;86,49;0,18;403,14;0,28227;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5468,7;198,89;927,05;valida
08/2023;2023-09-04;6;9;ENRG ATV;39857300,0;40274000,0;0,016;6667,2;6667,2;0,46946;3129,98;120,87;0,18;563,39;0,36683;6667,2;0,36124;2408,48;93,01;0,18;433,52;0,28227;;;;;;;;;;;;;;;;;;;;318,35;;;;;;0,0;;;5856,81;213,88;996,91;valida
08/2023;2023-09-22;7;12;ENRG ATV INJ;844,0;1008,0;40,0;6560,0;100,0;0,4692;46,92;1,8;0,18;8,44;0,36683;100,0;0,3609;36,09;1,38;0,18;6,49;0,28227;;;;;;;;;;;;;;;;;;;;3,87;;;;;;-93,18;;6,3;0,0;3,18;14,93;valida
08/2023;2023-08-23;2;2;ENRG ATV;52214,0;58500,0;1,0;6286,0;6286,0;0,46946;2951,03;113,96;0,18;531,18;0,36683;6286,0;0,36124;2270,78;87,7;0,18;408,74;0,28227;4856,4;0,38496;-1869,52;-88,05;0,0;0,0;0,36683;4856,4;0,36124;-1754,34;-67,75;0,18;-315,78;0,28227;;;;;;478,24;;;;-55,65;-2266,13;0,0;;245,59;0,0;45,86;624,14;valida
08/2023;2023-08-23;3;10;ENRG ATV;58192,0;58999,0;1,0;807,0;807,0;0,46944;378,84;14,62;0,18;68,19;0,36683;807,0;0,36123;291,51;11,25;0,18;52,47;0,28227;257,468;0,3668;-94,44;0,0;0,0;0,0;0,36683;257,468;0,28225;-72,67;0,0;0,0;0,0;0,28227;;;;;;67,22;;;;;;0,0;;;570,46;25,87;120,66;valida
08/2023;2023-09-25;2;6;ENRG ATV;49524,0;53879,0;1,0;4355,0;4355,0;0,46946;2044,51;78,96;0,18;368,01;0,36683;4355,0;0,36124;1573,2;60,75;0,18;283,17;0,28227;3663,6;0,38495;-1410,32;-66,41;0,0;0,0;0,36683;3663,6;0,36124;-1323,43;-51,1;0,18;-238,21;0,28227;;;;;;332,11;;;;;;-1223,28;;7,21;0,0;22,2;412,97;valida
08/2023;2023-10-23;3;3;ENRG ATV;46153000,0;46656700,0;0,016;8059,2;8059,2;0,46946;3783,5;146,12;0,18;681,03;0,36683;8059,2;0,36124;2911,34;112,43;0,18;524,04;0,28227;3089,616;0,36683;-1133,36;0,0;0,0;0,0;0,36683;3089,616;0,28227;-872,1;0,0;0,0;0,0;0,28227;;;;;;573,89;;;;;-5263,27;0,0;;;0,0;258,55;1205,07;valida
08/2023;2023-08-23;1;1;ENRG ATV;89606,0;97716,0;1,0;8110,0;8110,0;0,46946;3807,35;147,04;0,18;685,32;0,36683;8110,0;0,36124;2929,68;113,14;0,18;527,34;0,28227;3089,616;0,36683;-1133,36;0,0;0,0;0,0;0,36683;3089,616;0,28227;-872,1;0,0;0,0;0,0;0,28227;;;;;;573,89;;;;;;0,0;;;5305,46;260,18;1212,66;valida
08/2023;2023-08-23;4;4;ENRG ATV;18987,0;30108,0;1,0;11121,0;11121,0;0,46946;5220,91;201,64;0,18;939,76;0,36683;11121,0;0,36124;4017,4;155,15;0,18;723,13;0,28227;3600,0;0,38496;-1385,85;-65,27;0,0;0,0;0,36683;3600,0;0,36124;-1300,46;-50,21;0,18;-234,08;0,28227;;;;-430,8;;688,67;;;-15560,52;;;0,0;;8750,65;0,0;241,31;1428,81;valida
